project,last_updated,Barcodes,Geno,Nitrogen,rep,Leaf_no,Photo,Cond,Tleaf,Trans,VpdL,lma_gm2,d13c,d15n,cent_n,cent_c,n_mass_mg_per_g,n_area_gm2,c_mass_mg_per_g,c_area_gm2
cousins_pheno_0,2019/01/17 08:11:28,Fa005AC031854,E05,100,8,6,25.73692122,0.131498207,31.97685194,0.003509539,2.645813228,32.4608761,-16.04,-4.52,3.706,43.377,37.06,1.203000068,433.77,14.08055423
cousins_pheno_0,2019/01/17 08:11:28,Fa005AC031884,E05,100,9,6,25.92364172,0.139622835,32.00371313,0.003311225,2.360967341,30.32529215,-16.26,-4.46,4.281,52.545,42.81,1.298225757,525.45,15.93442476
cousins_pheno_0,2019/01/17 08:11:28,Fa005AB031464,E05,50,4,4,20.07432976,0.110183785,31.98582014,0.002859335,2.553695401,26.69479943,-15.48,0.4,1.8812,44.1741,18.812,0.502182567,441.741,11.7921874
cousins_pheno_0,2019/01/17 08:11:28,Fa005AB031614,E05,50,9,5,17.47415188,0.122074191,31.89885984,0.003138704,2.533092414,32.03375931,-15.73,-0.98,2.247,44.538,22.47,0.719798572,445.38,14.26719572
cousins_pheno_0,2019/01/17 08:11:28,Fa006AA031195,E06,10,1,5,20.76499847,0.120988784,31.92378092,0.002948747,2.408845577,28.61682498,-15.39,-1.4,2.181993284,39.47762836,21.81993284,0.624417199,394.7762836,11.29724381
cousins_pheno_0,2019/01/17 08:11:28,Fa006AA031225,E06,10,2,6,26.61440663,0.1513396,32.15865803,0.00340012,2.232221027,25.62700745,-15.17,-2.48,3.834,42.798,38.34,0.982539466,427.98,10.96784665
cousins_pheno_0,2019/01/17 08:11:28,Fa006AA031255,E06,10,3,4,13.72104998,0.067258142,31.9261481,0.001674484,2.421738018,38.01339438,-15.6,-0.3,1.633519663,40.60651685,16.33519663,0.620956272,406.0651685,15.43591539
cousins_pheno_0,2019/01/17 08:11:28,Fa006AA031285,E06,10,4,4,19.97248602,0.106742736,32.0183487,0.002631764,2.415361834,32.88799289,-15.72,-1.05,2.593,47.812,25.93,0.852785656,478.12,15.72440716
cousins_pheno_0,2019/01/17 08:11:28,Fa006AC031645,E06,100,1,6,32.90915827,0.205307454,32.01750088,0.004540643,2.246239122,25.84056584,-15.69,-3.47,3.447,43.716,34.47,0.890724305,437.16,11.29646176
cousins_pheno_0,2019/01/17 08:11:28,Fa006AC031705,E06,100,3,6,33.03384693,0.20944417,31.87870741,0.00457982,2.217092819,30.32529215,-15.97,-5.14,3.903,47.702,39.03,1.183596153,477.02,14.46577086
cousins_pheno_0,2019/01/17 08:11:28,Fa006AC031705,E06,100,3,5,29.56589931,0.169373457,33.51756541,0.004244468,2.507744005,30.32529215,-15.97,-5.14,3.903,47.702,39.03,1.183596153,477.02,14.46577086
cousins_pheno_0,2019/01/17 08:11:28,Fa006AC031735,E06,100,4,4,28.86975,0.184309593,32.02557373,0.004413685,2.383584139,44.20658785,-16,-1.32,1.043492754,28.05467021,10.43492754,0.461292541,280.5467021,12.40201243
cousins_pheno_0,2019/01/17 08:11:28,Fa006AC031885,E06,100,9,5,23.83894053,0.13128012,32.00390291,0.003281985,2.474403426,71.96917925,-16.09,-3.83,3.468,46.138,34.68,2.495891136,461.38,33.20513992
cousins_pheno_0,2019/01/17 08:11:28,Fa006AB031375,E06,50,1,5,23.51840515,0.17444925,32.04162502,0.004145947,2.37833778,30.53885054,-15.3,-0.4,1.869076923,36.51068532,18.69076923,0.570794608,365.1068532,11.14994362
cousins_pheno_0,2019/01/17 08:11:28,Fa006AB031435,E06,50,3,5,19.58032106,0.133876363,32.00197601,0.003099176,2.288122006,45.06082143,-15.59,-0.85,1.600274882,40.5041981,16.00274882,0.721097007,405.041981,18.25152438
cousins_pheno_0,2019/01/17 08:11:28,Fa006AB031555,E06,50,7,5,15.11136336,0.101120457,32.23058033,0.002646496,2.571670658,25.41344905,-15.59,-0.73,2.044,43.055,20.44,0.519450899,430.55,10.94176049
cousins_pheno_0,2019/01/17 08:11:28,Fa007AA031196,E07,10,1,5,27.08944505,0.160517434,32.01709843,0.003537871,2.193545852,33.74222647,-15.58,-1.31,2.706456962,44.75392532,27.06456962,0.913218837,447.5392532,15.10097084
cousins_pheno_0,2019/01/17 08:11:28,Fa007AA031226,E07,10,2,5,12.19544742,0.064411365,31.99197197,0.001712749,2.595387166,27.7625914,-14.96,-1.31,2.257003077,43.26529231,22.57003077,0.626602542,432.6529231,12.01156632
cousins_pheno_0,2019/01/17 08:11:28,Fa007AA031316,E07,10,5,5,10.55350975,0.054667544,32.06059075,0.001584608,2.818689597,29.47105857,-15.68,-1.29,1.999,39.658,19.99,0.589126461,396.58,11.68763241
cousins_pheno_0,2019/01/17 08:11:28,Fa007AA031346,E07,10,6,4,18.5366443,0.103631103,31.9876442,0.002794731,2.64359316,26.26768264,-16.09,-1.28,3.492,45.675,34.92,0.917267478,456.75,11.99776405
cousins_pheno_0,2019/01/17 08:11:28,Fa007AC031676,E07,100,2,6,27.78768276,0.165768844,32.07843971,0.003293503,2.014028433,28.61682498,-15.89,-3.02,3.316,47.436,33.16,0.948933916,474.36,13.5746771
cousins_pheno_0,2019/01/17 08:11:28,Fa007AC031706,E07,100,3,6,35.26568669,0.211834648,32.39086628,0.004720667,2.290965524,26.05412424,-15.79,-5.12,4.436072131,49.7908459,44.36072131,1.155779744,497.908459,12.97256885
cousins_pheno_0,2019/01/17 08:11:28,Fa007AC031796,E07,100,6,4,20.70605864,0.130275025,32.00576019,0.003271673,2.484177694,22.42363152,-16.36,-2.54,2.783066667,43.37041429,27.83066667,0.624064614,433.7041429,9.725221889
cousins_pheno_0,2019/01/17 08:11:28,Fa007AC031886,E07,100,9,5,28.42000911,0.161342406,32.03129673,0.003924977,2.423354236,29.47105857,-15.58,-3.4,4.276,51.212,42.76,1.260182464,512.12,15.09271851
cousins_pheno_0,2019/01/17 08:11:28,Fa007AB031376,E07,50,1,5,23.00611755,0.128331445,31.98007011,0.002992572,2.324717892,22.42363152,-15.63,-1.01,1.697199048,40.13228762,16.97199048,0.380573661,401.3228762,8.999116296
cousins_pheno_0,2019/01/17 08:11:28,Fa007AB031406,E07,50,2,6,9.291455707,0.051786207,31.9609313,0.001242342,2.329872655,18.5795804,-15.38,-1.08,2.493396552,46.7452931,24.93396552,0.463262617,467.452931,8.685079315
cousins_pheno_0,2019/01/17 08:11:28,Fa007AB031406,E07,50,2,5,22.45057869,0.125612507,31.90741205,0.0027966,2.215869355,18.5795804,-15.38,-1.08,2.493396552,46.7452931,24.93396552,0.463262617,467.452931,8.685079315
cousins_pheno_0,2019/01/17 08:11:28,Fa007AB031436,E07,50,3,5,19.48257931,0.112128165,31.89698458,0.002736195,2.410631184,29.68461696,-15.34,-1.1,2.175,41.201,21.75,0.645640419,412.01,12.23035903
cousins_pheno_0,2019/01/17 08:11:28,Fa007AB031466,E07,50,4,5,17.92139867,0.092513394,31.80052519,0.002360352,2.502916449,27.12191622,-15.07,-0.62,2.63967874,41.49853858,26.3967874,0.715931456,414.9853858,11.25519887
cousins_pheno_0,2019/01/17 08:11:28,Fa007AB031526,E07,50,6,4,18.61580361,0.116051271,31.420753,0.002554653,2.167282974,27.12191622,-15.73,-1.66,1.969570866,41.24467323,19.69570866,0.53418536,412.4467323,11.18634572
cousins_pheno_0,2019/01/17 08:11:28,Fa007AB031556,E07,50,7,5,18.4413843,0.11172679,32.1224912,0.002657278,2.338473958,22.42363152,-15.24,-1.78,2.182,43.966,21.82,0.48928364,439.66,9.858773834
cousins_pheno_0,2019/01/17 08:11:28,Fa008AA031197,E08,10,1,4,14.55304576,0.082555638,31.80721728,0.002198266,2.598427808,33.10155129,-15.75,-3.02,3.771670968,49.51121936,37.71670968,1.2484816,495.1121936,16.38898167
cousins_pheno_0,2019/01/17 08:11:28,Fa008AA031227,E08,10,2,5,20.66404662,0.123061743,31.93972969,0.002844808,2.273944832,30.96596733,-15.7,-1.32,2.221321379,43.83054759,22.21321379,0.687853653,438.3054759,13.57255305
cousins_pheno_0,2019/01/17 08:11:28,Fa008AA031317,E08,10,5,5,23.15906094,0.134988118,32.00591564,0.003471227,2.538167847,24.77277387,-15.94,-2.22,3.612,47.772,36.12,0.894792592,477.72,11.83444953
cousins_pheno_0,2019/01/17 08:11:28,Fa008AA031347,E08,10,6,4,19.95899429,0.086885108,31.62866434,0.00204781,2.298810606,28.40326659,-15.65,-2.32,3.2,47.837,32,0.908904531,478.37,13.58727064
cousins_pheno_0,2019/01/17 08:11:28,Fa008AC031647,E08,100,1,6,25.14214054,0.145445327,32.00014496,0.003560875,2.440474648,35.02357685,-15.52,-4.38,3.326131707,44.68804878,33.26131707,1.164930295,446.8804878,15.65135311
cousins_pheno_0,2019/01/17 08:11:28,Fa008AC031677,E08,100,2,6,34.34050523,0.221625184,31.87067556,0.004222586,1.944184794,29.25750017,-15.94,-4.98,3.844,41.736,38.44,1.124658307,417.36,12.21091027
cousins_pheno_0,2019/01/17 08:11:28,Fa008AC031707,E08,100,3,6,28.91969735,0.193318217,32.06382275,0.004009238,2.091673216,38.86762796,-15.94,-5.2,3.317684615,37.21006593,33.17684615,1.289505313,372.1006593,14.46266999
cousins_pheno_0,2019/01/17 08:11:28,Fa008AC031857,E08,100,8,5,23.30019431,0.133090578,32.14455796,0.003381122,2.513340673,34.81001845,-16.01,-4.9,3.147,42.494,31.47,1.095471281,424.94,14.79216924
cousins_pheno_0,2019/01/17 08:11:28,Fa008AB031377,E08,50,1,5,11.94217525,0.072170415,31.97785902,0.001633834,2.221955278,21.99651473,-15.4,-1.28,3.169306796,56.51547573,31.69306796,0.697137036,565.1547573,12.43143494
cousins_pheno_0,2019/01/17 08:11:28,Fa008AB031407,E08,50,2,5,24.85537907,0.172767083,32.06246662,0.003921437,2.260648727,35.66425203,-15.25,-1.49,1.953110778,43.02925988,19.53110778,0.69656235,430.2925988,15.34606369
cousins_pheno_0,2019/01/17 08:11:28,Fa008AB031617,E08,50,9,5,21.36452579,0.130779974,31.90276623,0.003076721,2.317004472,30.11173375,-15.7,-1.35,2.253,42.622,22.53,0.678417361,426.22,12.83422316
cousins_pheno_0,2019/01/17 08:11:28,Fa009AA031198,E09,10,1,4,26.49930413,0.162861383,31.87201691,0.003627521,2.210958176,35.87781043,-15.49,0.84,2.339097619,40.44378333,23.39097619,0.83921701,404.4378333,14.51034391
cousins_pheno_0,2019/01/17 08:11:28,Fa009AA031258,E09,10,3,5,20.04928958,0.095550021,31.88518334,0.002496501,2.562154085,28.83038338,-15.43,-2.65,2.006,43.281,20.06,0.578337491,432.81,12.47807823
cousins_pheno_0,2019/01/17 08:11:28,Fa009AA031318,E09,10,5,5,22.42151545,0.116583658,31.95116234,0.002955399,2.496235518,35.87781043,-15.88,-1.63,2.736217262,41.53974762,27.36217262,0.981694842,415.3974762,14.9035519
cousins_pheno_0,2019/01/17 08:11:28,Fa009AC031648,E09,100,1,4,29.73812882,0.175606033,32.00363668,0.0042524,2.411148383,39.50830315,-16.05,-1.2,3.238708649,39.51042919,32.38708649,1.279558831,395.1042919,15.60990014
cousins_pheno_0,2019/01/17 08:11:28,Fa009AC031678,E09,100,2,5,31.41998118,0.195784263,32.74677563,0.004433873,2.289508371,34.16934327,-16.04,-4,3.815,45.363,38.15,1.303560446,453.63,15.50023919
cousins_pheno_0,2019/01/17 08:11:28,Fa009AC031738,E09,100,4,5,23.24606131,0.111529897,32.09049225,0.002890132,2.539169425,27.12191622,-16.24,-3.91,3.646212598,45.15786614,36.46212598,0.988922726,451.5786614,12.24767862
cousins_pheno_0,2019/01/17 08:11:28,Fa009AC031768,E09,100,5,4,18.8566339,0.089095365,31.92257404,0.002191707,2.401830374,30.32529215,-16.5,-2.93,3.301471831,43.25660916,33.01471831,1.001180978,432.5660916,13.1176931
cousins_pheno_0,2019/01/17 08:11:28,Fa009AC031858,E09,100,8,6,30.50740169,0.18777621,32.05187702,0.004025775,2.155187139,70.04715369,-15.5,-3.92,3.05,43.203,30.5,2.136438188,432.03,30.26247181
cousins_pheno_0,2019/01/17 08:11:28,Fa009AB031438,E09,50,3,4,16.55555336,0.095813324,31.98393536,0.002539484,2.598696213,24.13209868,-15.18,-0.82,2.129,41.308,21.29,0.513772381,413.08,9.968487323
cousins_pheno_0,2019/01/17 08:11:28,Fa009AB031438,E09,50,3,5,10.98866695,0.061947092,31.92263031,0.001426688,2.245763505,24.13209868,-15.18,-0.82,2.129,41.308,21.29,0.513772381,413.08,9.968487323
cousins_pheno_0,2019/01/17 08:11:28,Fa009AB031468,E09,50,4,4,17.81935634,0.09080653,31.99934514,0.00237045,2.555066597,35.45069364,-15.29,-1.24,2.005385542,44.3554247,20.05385542,0.710923085,443.554247,15.72430572
cousins_pheno_0,2019/01/17 08:11:28,Fa009AB031498,E09,50,5,4,22.04483174,0.119940057,31.82934062,0.003147192,2.582131701,35.66425203,-15.42,-1.25,1.876023952,44.1548982,18.76023952,0.66906991,441.548982,15.74751418
